Date,Region name,Cumulative cases,Active cases,"Active case rate (per 100,000 population)",Population
2022-01-13,CENTRE,6980,1132,1675.31,67570
2022-01-13,CENTRE NORTH,4013,578,1286.9,44914
2022-01-13,CENTRE WEST,6194,1152,1749.57,65845
2022-01-13,EAST,7684,1194,1646.69,72509
2022-01-13,ELBOW,3637,635,1555.13,40833
2022-01-13,FISH CREEK,9032,1624,1455.54,111574
2022-01-13,LOWER NORTHEAST,12199,1641,1701.02,96472
2022-01-13,LOWER NORTHWEST,4481,876,1397.24,62695
2022-01-13,NORTH,12014,2510,2147.8,116864
2022-01-13,NOSE HILL,6600,1121,1436.83,78019
2022-01-13,SOUTHEAST,14174,2821,2098.69,134417
2022-01-13,SOUTHWEST,12551,2812,2404.71,116937
2022-01-13,UPPER NORTHEAST,20103,3040,2512.53,120993
2022-01-13,UPPER NORTHWEST,10565,2062,1667.2,123680
2022-01-13,WEST,7825,1496,1620.45,92320
2022-01-13,WEST BOW,1708,343,1605.41,21365
2022-01-12,CENTRE,6880,1126,1666.43,67570
2022-01-12,CENTRE NORTH,3970,593,1320.29,44914
2022-01-12,CENTRE WEST,6113,1165,1769.32,65845
2022-01-12,EAST,7544,1123,1548.77,72509
2022-01-12,ELBOW,3592,653,1599.21,40833
2022-01-12,FISH CREEK,8876,1661,1488.7,111574
2022-01-12,LOWER NORTHEAST,12033,1578,1635.71,96472
2022-01-12,LOWER NORTHWEST,4405,874,1394.05,62695
2022-01-12,NORTH,11802,2483,2124.69,116864
2022-01-12,NOSE HILL,6485,1142,1463.74,78019
2022-01-12,SOUTHEAST,13921,2799,2082.32,134417
2022-01-12,SOUTHWEST,12266,2697,2306.36,116937
2022-01-12,UPPER NORTHEAST,19726,2809,2321.61,120993
2022-01-12,UPPER NORTHWEST,10384,2102,1699.54,123680
2022-01-12,WEST,7715,1524,1650.78,92320
2022-01-12,WEST BOW,1678,341,1596.05,21365
2022-01-11,CENTRE,6778,1133,1676.79,67570
2022-01-11,CENTRE NORTH,3921,611,1360.37,44914
2022-01-11,CENTRE WEST,6024,1186,1801.21,65845
2022-01-11,EAST,7436,1070,1475.68,72509
2022-01-11,ELBOW,3525,650,1591.87,40833
2022-01-11,FISH CREEK,8741,1676,1502.14,111574
2022-01-11,LOWER NORTHEAST,11862,1496,1550.71,96472
2022-01-11,LOWER NORTHWEST,4352,908,1448.29,62695
2022-01-11,NORTH,11595,2457,2102.45,116864
2022-01-11,NOSE HILL,6408,1187,1521.42,78019
2022-01-11,SOUTHEAST,13671,2708,2014.62,134417
2022-01-11,SOUTHWEST,11999,2608,2230.25,116937
2022-01-11,UPPER NORTHEAST,19399,2612,2158.8,120993
2022-01-11,UPPER NORTHWEST,10226,2126,1718.95,123680
2022-01-11,WEST,7618,1621,1755.85,92320
2022-01-11,WEST BOW,1658,348,1628.81,21365
2022-01-10,CENTRE,6659,1124,1663.47,67570
2022-01-10,CENTRE NORTH,3853,609,1355.92,44914
2022-01-10,CENTRE WEST,5927,1222,1855.88,65845
2022-01-10,EAST,7320,1002,1381.9,72509
2022-01-10,ELBOW,3462,638,1562.48,40833
2022-01-10,FISH CREEK,8592,1668,1494.97,111574
2022-01-10,LOWER NORTHEAST,11690,1403,1454.31,96472
2022-01-10,LOWER NORTHWEST,4283,924,1473.81,62695
2022-01-10,NORTH,11356,2400,2053.67,116864
2022-01-10,NOSE HILL,6310,1185,1518.86,78019
2022-01-10,SOUTHEAST,13383,2628,1955.1,134417
2022-01-10,SOUTHWEST,11729,2507,2143.88,116937
2022-01-10,UPPER NORTHEAST,19031,2360,1950.52,120993
2022-01-10,UPPER NORTHWEST,10036,2107,1703.58,123680
2022-01-10,WEST,7483,1613,1747.19,92320
2022-01-10,WEST BOW,1629,338,1582.01,21365
2022-01-09,CENTRE,6574,1138,1684.19,67570
2022-01-09,CENTRE NORTH,3817,633,1409.35,44914
2022-01-09,CENTRE WEST,5840,1209,1836.14,65845
2022-01-09,EAST,7220,935,1289.49,72509
2022-01-09,ELBOW,3427,663,1623.7,40833
2022-01-09,FISH CREEK,8503,1683,1508.42,111574
2022-01-09,LOWER NORTHEAST,11554,1333,1381.75,96472
2022-01-09,LOWER NORTHWEST,4209,915,1459.45,62695
2022-01-09,NORTH,11151,2313,1979.23,116864
2022-01-09,NOSE HILL,6220,1174,1504.76,78019
2022-01-09,SOUTHEAST,13229,2611,1942.46,134417
2022-01-09,SOUTHWEST,11555,2448,2093.43,116937
2022-01-09,UPPER NORTHEAST,18770,2184,1805.06,120993
2022-01-09,UPPER NORTHWEST,9837,2044,1652.65,123680
2022-01-09,WEST,7374,1633,1768.85,92320
2022-01-09,WEST BOW,1606,327,1530.52,21365
2022-01-08,CENTRE,6467,1079,1596.87,67570
2022-01-08,CENTRE NORTH,3766,609,1355.92,44914
2022-01-08,CENTRE WEST,5727,1137,1726.79,65845
2022-01-08,EAST,7104,828,1141.93,72509
2022-01-08,ELBOW,3366,631,1545.34,40833
2022-01-08,FISH CREEK,8321,1540,1380.25,111574
2022-01-08,LOWER NORTHEAST,11392,1182,1225.23,96472
2022-01-08,LOWER NORTHWEST,4110,837,1335.04,62695
2022-01-08,NORTH,10901,2123,1816.64,116864
2022-01-08,NOSE HILL,6117,1109,1421.44,78019
2022-01-08,SOUTHEAST,12923,2357,1753.49,134417
2022-01-08,SOUTHWEST,11266,2211,1890.76,116937
2022-01-08,UPPER NORTHEAST,18540,1978,1634.8,120993
2022-01-08,UPPER NORTHWEST,9628,1875,1516,123680
2022-01-08,WEST,7207,1539,1667.03,92320
2022-01-08,WEST BOW,1574,303,1418.19,21365
2022-01-07,CENTRE,6354,975,1442.95,67570
2022-01-07,CENTRE NORTH,3707,552,1229.01,44914
2022-01-07,CENTRE WEST,5616,1029,1562.77,65845
2022-01-07,EAST,6986,718,990.22,72509
2022-01-07,ELBOW,3316,583,1427.78,40833
2022-01-07,FISH CREEK,8180,1406,1260.15,111574
2022-01-07,LOWER NORTHEAST,11223,1019,1056.27,96472
2022-01-07,LOWER NORTHWEST,4026,758,1209.03,62695
