CLASS,CLASS_CODE,COMM_CODE,NAME,SECTOR,SRG,COMM_STRUCTURE,CNSS_YR,FOIP_IND,RES_CNT,DWELL_CNT,PRSCH_CHLD,ELECT_CNT,EMPLYD_CNT,OWNSHP_CNT,DOG_CNT,CAT_CNT,PUB_SCH,SEP_SCH,PUBSEP_SCH,OTHER_SCH,UNKNWN_SCH,SING_FAMLY,DUPLEX,MULTI_PLEX,APARTMENT,TOWN_HOUSE,MANUF_HOME,CONV_STRUC,COMUNL_HSE,RES_COMM,OTHER_RES,NURSING_HM,OTHER_INST,HOTEL_CNT,OTHER_MISC,APT_NO_RES,APT_OCCPD,APT_OWNED,APT_PERSON,APT_VACANT,APT_UC,APT_NA,CNV_NO_RES,CNV_OCCPD,CNV_OWNED,CNV_PERSON,CNV_VACANT,CNV_UC,CNV_NA,DUP_NO_RES,DUP_OCCPD,DUP_OWNED,DUP_PERSON,DUP_VACANT,DUP_UC,DUP_NA,MFH_NO_RES,MFH_OCCPD,MFH_OWNED,MFH_PERSON,MFH_VACANT,MFH_UC,MFH_NA,MUL_NO_RES,MUL_OCCPD,MUL_OWNED,MUL_PERSON,MUL_VACANT,MUL_UC,MUL_NA,OTH_NO_RES,OTH_OCCPD,OTH_OWNED,OTH_PERSON,OTH_VACANT,OTH_UC,OTH_NA,TWN_NO_RES,TWN_OCCPD,TWN_OWNED,TWN_PERSON,TWN_VACANT,TWN_UC,TWN_NA,SF_NO_RES,SF_OCCPD,SF_OWNED,SF_PERSON,SF_VACANT,SF_UC,SF_NA,OTH_STRTY,DWELSZ_1,DWELSZ_2,DWELSZ_3,DWELSZ_4_5,DWELSZ_6,MALE_CNT,FEMALE_CNT,MALE_0_4,MALE_5_14,MALE_15_19,MALE_20_24,MALE_25_34,MALE_35_44,MALE_45_54,MALE_55_64,MALE_65_74,MALE_75,FEM_0_4,FEM_5_14,FEM_15_19,FEM_20_24,FEM_25_34,FEM_35_44,FEM_45_54,FEM_55_64,FEM_65_74,FEM_75,MF_0_4,MF_5_14,MF_15_19,MF_20_24,MF_25_34,MF_35_44,MF_45_54,MF_55_64,MF_65_74,MF_75,OTHER_CNT,OTHER_0_4,OTHER_5_14,OTHER_15_19,OTHER_20_24,OTHER_25_34,OTHER_35_44,OTHER_45_54,OTHER_55_64,OTHER_65_74,OTHER_75
Residential,1,HPK,HIGHLAND PARK,CENTRE,BUILT-OUT,1950s,2019,,3838,2277,325,0,0,645,0,0,786,190,107,84,1104,823,402,45,520,24,0,460,0,2,1,0,0,0,0,0,453,70,656,62,1,2,4,302,0,484,122,5,25,3,354,214,887,39,5,1,0,0,0,0,0,0,0,0,40,0,65,5,0,0,1,2,0,0,0,0,0,0,18,0,46,4,2,0,3,743,361,1697,68,6,0,3,734,725,241,195,11,1986,1846,142,167,52,119,364,456,264,243,117,62,140,155,39,98,413,342,221,216,112,110,282,322,91,217,777,798,485,459,229,172,0,0,0,0,0,0,0,0,0,0,0
Residential,1,BNK,BANKVIEW,CENTRE,BUILT-OUT,INNER CITY,2019,,5256,3531,165,0,0,826,0,0,1370,172,240,50,1699,483,115,50,2443,244,0,195,0,0,1,0,0,0,0,21,2290,381,3388,126,0,0,6,142,14,219,40,0,2,0,89,44,180,12,10,0,0,0,0,0,0,0,0,0,38,0,60,7,5,0,0,1,0,9,0,0,0,2,228,107,437,8,5,1,2,441,280,963,35,5,0,1,1723,1153,224,122,6,2686,2553,84,116,44,185,902,638,335,235,117,30,83,110,43,211,966,534,269,183,109,45,167,226,87,396,1868,1172,604,418,226,75,0,0,0,0,0,0,0,0,0,0,0
Residential,1,SHG,SHAGANAPPI,CENTRE,BUILT-OUT,1950s,2019,,1626,855,63,0,0,338,0,0,379,75,24,33,344,367,127,8,228,38,0,84,0,0,0,0,0,3,0,18,203,44,324,7,0,0,0,66,0,106,17,0,1,0,110,57,311,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,9,2,0,0,0,31,15,56,7,0,0,3,329,222,820,24,8,0,3,228,300,95,106,9,817,800,41,71,27,72,228,142,85,94,38,19,43,61,29,63,222,146,100,71,40,25,84,132,56,135,450,288,185,165,78,44,0,0,0,0,0,0,0,0,0,0,0
Residential,1,EYA,ELBOYA,CENTRE,BUILT-OUT,1950s,2019,,1754,771,90,0,0,383,0,0,387,47,38,23,271,471,11,0,249,20,0,18,0,0,0,1,0,1,0,0,229,12,424,15,0,0,0,15,0,25,2,0,1,0,10,0,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,56,1,0,0,0,17,0,32,3,0,0,0,419,371,1198,38,4,6,2,152,277,115,142,0,893,859,53,111,52,52,109,158,132,120,74,32,47,126,56,40,95,145,121,106,80,43,100,237,108,92,204,303,253,226,154,75,0,0,0,0,0,0,0,0,0,0,0
Residential,1,SNA,SUNALTA,CENTRE,BUILT-OUT,INNER CITY,2019,,3239,2165,71,0,0,451,0,0,861,99,95,132,978,238,13,4,1684,88,0,133,0,4,0,0,0,1,0,10,1564,297,2366,89,0,0,7,103,0,156,17,0,0,0,10,6,20,0,3,0,0,0,0,0,0,0,0,0,4,0,8,0,0,0,0,5,0,31,0,0,0,1,84,49,172,3,0,0,7,204,99,481,18,4,0,5,1054,719,112,86,0,1692,1532,50,64,24,55,495,600,255,98,41,10,43,62,17,72,564,458,201,71,32,12,93,126,41,127,1066,1058,456,169,73,22,7,0,0,0,0,7,0,0,0,0,0
Residential,1,GAW,GARRISON WOODS,CENTRE,BUILT-OUT,INNER CITY,2019,,3116,1427,142,0,0,1025,0,0,771,164,147,96,248,426,212,0,469,304,0,10,0,0,4,1,1,0,0,0,450,244,584,17,0,0,0,8,0,11,2,0,0,0,199,159,459,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,156,4,0,0,0,289,247,644,15,0,0,0,413,375,1261,11,1,0,6,506,440,158,246,8,1386,1716,68,184,85,45,158,207,252,160,112,115,88,219,78,39,186,236,281,194,153,242,156,403,163,84,344,443,533,354,265,357,0,0,0,0,0,0,0,0,0,0,0
Residential,1,RIC,RICHMOND,CENTRE,BUILT-OUT,1950s,2019,,4962,2503,411,0,0,1406,0,0,1133,196,161,88,925,1035,642,47,462,155,0,162,0,0,0,0,0,0,0,0,357,103,522,36,68,0,2,130,0,182,29,0,0,1,584,453,1519,25,29,0,0,0,0,0,0,0,0,0,34,18,71,11,2,0,0,0,0,0,0,0,0,3,142,86,307,6,4,0,6,957,746,2361,42,22,0,0,637,860,348,333,21,2525,2409,173,264,92,105,442,573,360,285,169,62,145,233,80,115,492,520,311,271,159,83,318,497,172,220,934,1099,677,556,328,145,12,0,0,0,0,0,6,6,0,0,0
Residential,1,BNF,BANFF TRAIL,CENTRE,BUILT-OUT,1950s,2019,,4153,1949,193,0,0,649,0,0,962,119,129,32,703,997,286,11,120,14,0,513,0,0,1,0,0,7,0,0,114,0,174,6,0,0,3,410,15,791,78,1,21,0,252,145,707,15,19,0,0,0,0,0,0,0,0,0,8,0,15,3,0,0,0,1,0,0,7,0,0,0,6,0,19,3,5,0,2,935,489,2445,45,9,3,8,442,617,358,276,23,2255,1845,85,167,88,439,651,299,197,166,105,58,84,146,89,298,423,261,186,162,114,82,169,313,177,768,1090,560,383,328,219,140,47,0,0,0,31,16,0,0,0,0,0
Residential,1,POI,POINT MCKAY,CENTRE,BUILT-OUT,1960s/1970s,2019,,1343,846,29,0,0,605,0,0,506,88,63,20,169,0,24,0,312,510,0,0,0,0,0,0,0,0,0,0,291,198,421,21,0,0,0,0,0,0,0,0,0,1,22,21,51,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,481,386,871,29,0,0,0,0,0,0,0,0,0,0,377,323,63,25,0,617,723,19,23,10,21,112,83,69,120,99,61,27,24,8,21,119,95,79,138,129,83,46,47,18,42,231,178,148,258,228,144,0,0,0,0,0,0,0,0,0,0,0
Residential,1,ING,INGLEWOOD,CENTRE,BUILT-OUT,INNER CITY,2019,,4024,2387,243,0,0,1154,0,0,1151,177,166,41,852,840,140,4,912,331,0,136,1,18,3,0,0,2,0,5,785,249,1071,56,55,0,8,103,14,144,18,0,7,0,128,62,300,8,3,0,0,0,0,0,0,0,0,0,3,0,6,1,0,0,13,9,0,49,1,0,0,0,319,236,657,12,0,0,7,794,593,1784,26,9,2,24,912,830,245,140,9,1984,2010,106,133,56,66,421,416,299,292,137,58,105,133,45,77,483,379,270,309,138,71,211,266,101,143,915,801,569,601,275,129,17,0,0,0,0,11,6,0,0,0,0
