,Date,Region type,Region name,Cumulative cases,Active cases,"Active case rate (per 100,000 population)",Population
94608,2022-01-17,Municipality,CITY OF CALGARY,148627,28848,2110.59,1366819
94607,2022-01-16,Municipality,CITY OF CALGARY,146838,29325,2145.49,1366819
94606,2022-01-15,Municipality,CITY OF CALGARY,144673,28576,2090.69,1366819
94605,2022-01-14,Municipality,CITY OF CALGARY,141875,26221,1918.4,1366819
94604,2022-01-13,Municipality,CITY OF CALGARY,139082,24735,1809.68,1366819
94603,2022-01-12,Municipality,CITY OF CALGARY,136708,24344,1781.07,1366819
94602,2022-01-11,Municipality,CITY OF CALGARY,134589,24117,1764.46,1366819
94601,2022-01-10,Municipality,CITY OF CALGARY,132229,23542,1722.39,1366819
94600,2022-01-09,Municipality,CITY OF CALGARY,130402,23078,1688.45,1366819
94599,2022-01-08,Municipality,CITY OF CALGARY,127940,21186,1550.02,1366819
94598,2022-01-07,Municipality,CITY OF CALGARY,125468,18817,1376.7,1366819
94597,2022-01-06,Municipality,CITY OF CALGARY,122771,16769,1226.86,1366819
94596,2022-01-05,Municipality,CITY OF CALGARY,120384,15671,1146.53,1366819
94595,2022-01-04,Municipality,CITY OF CALGARY,118688,15040,1100.36,1366819
94594,2022-01-03,Municipality,CITY OF CALGARY,116618,13798,1009.5,1366819
94593,2022-01-02,Municipality,CITY OF CALGARY,115498,13420,981.84,1366819
94592,2022-01-01,Municipality,CITY OF CALGARY,114814,13129,960.55,1366819
94591,2021-12-31,Municipality,CITY OF CALGARY,113155,11779,861.78,1366819
94590,2021-12-30,Municipality,CITY OF CALGARY,111373,10337,756.28,1366819
94589,2021-12-29,Municipality,CITY OF CALGARY,109614,8890,650.42,1366819
94588,2021-12-28,Municipality,CITY OF CALGARY,108053,7629,558.16,1366819
94587,2021-12-27,Municipality,CITY OF CALGARY,106950,6728,492.24,1366819
94586,2021-12-26,Municipality,CITY OF CALGARY,106504,6413,469.19,1366819
94585,2021-12-25,Municipality,CITY OF CALGARY,106333,6347,464.36,1366819
94584,2021-12-24,Municipality,CITY OF CALGARY,105635,5717,418.27,1366819
94583,2021-12-23,Municipality,CITY OF CALGARY,104362,4531,331.5,1366819
